Artificial intelligence,AI
Computer vision,AI
Machine learning,AI
Data mining,AI
Natural language processing,AI
The Web & information retrieval,AI
Computer architecture,Systems
Computer networks,Systems
Computer security,Systems
Databases,Systems
Design automation,Systems
Embedded & real-time systems,Systems
High-performance computing,Systems
Mobile computing,Systems
Measurement & perf. analysis,Systems
Operating systems,Systems
Programming languages,Systems
Software engineering,Systems
Algorithms & complexity,Theory
Cryptography,Theory
Logic & verification,Theory
Comp. bio & bioinformatics,Interdisciplinary
Computer graphics,Interdisciplinary
Economics & computation,Interdisciplinary
Human-computer interaction,Interdisciplinary
Robotics,Interdisciplinary
Visualization,Interdisciplinary
